;- Followings are fixes outside Bangkok FIR
PAPRA N015.46.00.000 E107.11.00.000
PASVA N006.15.29.160 E102.04.31.080
KARMI N006.29.39.840 E100.31.21.000
PONUK N020.18.54.000 E100.23.18.000
DALAN N018.59.41.000 E105.44.19.000
PADET N010.00.06.900 E098.17.19.300
PUMEK N015.55.05.000 E097.32.46.900
MAKAS N016.49.47.000 E098.29.48.900
VIBUN N013.47.48.000 E105.25.54.000
SADUS N015.25.41.000 E092.37.52.000
ARATO N016.22.04.900 E097.47.46.800
OBMOG N011.54.07.000 E096.23.31.000
KAKIP N014.40.33.850 E097.54.14.710
SAPAM N008.04.34.000 E097.33.00.000
TAVUN N010.00.00.000 E096.33.00.200
DALER N013.29.39.300 E098.31.27.960
EKAVO N011.37.36.500 E099.30.24.700
KADAX N006.15.56.160 E102.15.42.120
RIGTO N006.42.28.220 E100.15.04.230
ODONO N006.36.13.820 E103.01.29.410
XONAN N009.14.42.000 E102.50.18.000
SAGOD N017.55.48.000 E091.59.49.000
RUSET N007.46.15.960 E097.42.56.880
POXEM N015.26.35.100 E097.29.47.000
SISUK N019.48.04.100 E098.02.42.900
TOMIP N019.11.04.500 E101.15.47.500
BIDEM N014.21.54.000 E103.47.48.000
BASIT N009.34.48.000 E102.21.06.000
GOGOM N005.42.59.000 E100.12.40.590
PAPDA N005.49.29.000 E100.45.12.960
